fid,y,x,tree_id,species,health,notes
1,42.47522019,-76.48464728,1,Crabapple,3,
2,42.47527805,-76.48453039,2,River Birch,3,
3,42.47530121,-76.48455451,3,River Birch,3,
4,42.47561736,-76.48460315,4,Redbud,2,
5,42.47570704,-76.48463355,5,Redbud,4,
6,42.47575188,-76.48466699,6,Dogwood,4,
7,42.47579448,-76.48468219,7,Redbud,3,
8,42.476299,-76.48486261,8,Wisteria,5,Chinese. Cluster
9,42.47638068,-76.48483031,9,Redbud,4,
10,42.47660613,-76.48474603,10,Dogwood,2,
11,42.47664612,-76.4848057,11,River Birch,5,
12,42.4768976,-76.48479163,12,Fringe Tree,3,
13,42.4768394,-76.48469631,13,White Spruce,5,
14,42.47676756,-76.48455147,14,Norway Spruce,4,Cluster 6
15,42.47670478,-76.48460923,15,Norway Spruce,5,Cluster 8
16,42.47640563,-76.48457038,16,Gray Birch,2,
17,42.47634867,-76.48456616,17,Serviceberry,4,Canadian
18,42.47634275,-76.48453676,18,Serviceberry,4,Canadian
19,42.47645808,-76.48445523,19,Gray Birch,4,
20,42.47641471,-76.48432025,20,Serviceberry,3,Downy
21,42.47641471,-76.48428817,21,Serviceberry,3,Downy
22,42.47642555,-76.48427214,22,Serviceberry,3,Downy
23,42.47656947,-76.48426011,23,Gray Birch,4,
24,42.47657693,-76.48430276,24,Gray Birch,4,
25,42.47684603,-76.4841654,25,Crabapple,2,
26,42.47663705,-76.48401361,26,Magnolia,5,
27,42.47666995,-76.48398747,27,Witch hazel,5,Cluster
28,42.47671646,-76.48389826,28,Crabapple,5,Sprayed
29,42.47665747,-76.48381982,29,Crabapple,5,Sprayed. Dark red leaf
30,42.47660302,-76.48390595,30,River Birch,5,
31,42.47657806,-76.48394748,31,Witch hazel,5,
32,42.47654743,-76.48391518,32,River Birch,5,
33,42.47650773,-76.48387673,33,Black Gum,5,
34,42.47652248,-76.48369832,34,Crabapple,4,Sprayed
35,42.47659167,-76.48372908,35,Crabapple,5,Sprayed. Dark red leaf
36,42.47679909,-76.48366948,36,Swamp Oak,5,
37,42.47675529,-76.48360177,37,Swamp Oak,5,
38,42.47671411,-76.48355426,38,Swamp Oak,5,
39,42.47666943,-76.48351031,39,Redbud,5,
